id,topic,source,url,type,status,supports,limitations,project_impact
S011,Machine readers,RFS — How to Talk When a Machine Is Listening,https://academic.oup.com/rfs/article-abstract/36/9/3603/7087110,peer-reviewed academic,verified 2026-08-14,Firms adapt disclosures to growing machine readership.,Does not prove LLM reading errors cause tradable price errors.,Supports AI Reader Distortion mechanism but not full alpha chain.
S012,Japan rule,JPX Company Announcements Service,https://www.jpx.co.jp/english/listing/disclosure/,official primary,verified 2026-08-14,Prime Market simultaneous Japanese/English requirement from April 2025; 31-day public service window.,Historical archive beyond service window requires paid/other access.,Core institutional treatment for Japan hypothesis.
S013,Japan rule,JPX English Disclosure via TDnet,https://www.jpx.co.jp/english/equities/listed-co/disclosure-gate/service/,official primary,verified 2026-08-14,Scope and process of English disclosure through TDnet; summary/excerpt acceptable.,"Rule page, not historical event-level treatment data.",Defines treatment complexity.
S014,Japan pre-treatment,JPX English Disclosure Survey end-2024,https://www.jpx.co.jp/english/corporate/news/news-releases/0060/20250122-01.html,official primary,verified 2026-08-14,"Before April 2025, many Prime companies still needed to improve simultaneous English timing.","Aggregate survey, not event-level timestamps.",Supports heterogeneous treatment intensity.
S015,Japan investor demand,JPX 2025 overseas investor survey,https://www.jpx.co.jp/english/corporate/news/news-releases/0060/20250902-01.html,official primary,verified 2026-08-14,Overseas investors value improvements and still request broader/full English disclosure.,"Survey evidence, not return causality.",Supports user value of a normalized English feed.
S016,Japan historical index,Yanoshin unofficial TDnet API,https://webapi.yanoshin.jp/tdnet/,unofficial index/API,verified 2026-08-14,"Date/range queries, JSON/XML/RSS/HTML event index, timestamps and document links.","Unofficial; provides index/links, not guaranteed historical document retention.",Historical event-universe construction.
S017,Japan data,J-Quants,https://jpx-jquants.com/en/,official/commercial service,known; access blocked in current environment,Potential daily price and financial-summary data path.,"Regional/CDN access, plan limits, licensing and delay constraints.",Required for reactivation of historical Japan track.
S018,Japan archive,JPX TDnet paid database service,https://www.jpx.co.jp/english/markets/paid-info-listing/tdnet/02.html,official paid service,known official,Longer historical TDnet access.,Paid; outside initial budget.,Potential institutional reactivation path.
S019,RegimeShift,FASB ASU 2023-07 segment reporting,https://www.fasb.org/,official standard setter,topic verified in prior research; exact document URL should be rechecked,New significant segment expense disclosures.,Heterogeneous custom tags and incomplete segment P&L reconstruction.,"Feature candidate, not flagship."
S020,RegimeShift,FASB ASU 2023-09 income taxes,https://www.fasb.org/,official standard setter,topic verified in prior research; exact document URL should be rechecked,New tax reconciliation and jurisdictional disclosures.,Short mandatory history as of 2026.,Future feature/live dataset.
S021,RegimeShift,FASB ASU 2024-03 DISE,https://www.fasb.org/,official standard setter,topic verified in prior research; exact document URL should be rechecked,Future expense disaggregation disclosures.,Main mandatory history arrives later.,Not suitable for immediate historical alpha test.
S022,Supplier finance,FASB ASU 2022-04 supplier finance,https://www.fasb.org/Page/Document?pdf=ASU%202022-04.pdf,official standard setter,prior research source,Mandatory supplier-finance program disclosures.,Existing research and vendor competition.,Financial-normalization feature.
S023,EU CbCR,European Commission public country-by-country reporting,https://finance.ec.europa.eu/financial-markets/company-reporting-and-auditing/company-reporting/public-country-country-reporting_en,official primary,prior research source,New public jurisdiction-level tax/profit/employment disclosure framework.,Minimal historical sample.,Strong live-first future dataset.
S024,PowerQueue,FERC large-load orders/remarks,https://www.ferc.gov/news-events/news/commissioner-rosners-remarks-large-load-show-cause-orders-e-7-e-12-june-18-2026,official regulator,prior research source,Large-load/data-center queue duplication and readiness concerns.,Docket data fragmented and long-horizon.,Rejected current flagship; possible future project.
S025,Government contracts,USAspending Federal Spending Guide,https://www.usaspending.gov/data/Federal-Spending-Guide.pdf,official primary,prior research source,Award actions and deobligation semantics.,Negative obligations are not automatically lost future revenue.,Rejected as current flagship.
S026,ShadowNAV filing fixture,ARCC 2025-12-31 filing,https://www.sec.gov/Archives/edgar/data/1287750/000128775026000006/arcc-20251231.htm,official filing,prior research source,Auctane calculation fixture.,Contaminated development example; never confirmatory.,Regression test only.
S027,ShadowNAV filing fixture,FSK 2025-12-31 filing,https://www.sec.gov/Archives/edgar/data/1422183/000162828026011734/fsk-20251231.htm,official filing,prior research source,Medallia target fixture.,Contaminated development example.,Regression test only.
